1	晶圆制造薄膜车间的对象Petri网和人工势场调度优化方法	叶兆宇;张升龙;周家忠;伊思嘉;罗继亮		2026-02-27 09:17	华侨大学学报(自然科学版)	期刊	智能制造;晶圆制造薄膜车间;对象Petri网;人工势场;A*算法;调度优化;	针对晶圆制造薄膜车间中机器人路径规划与机台资源调度紧密耦合所导致的调度优化难题,提出一种能在有限时间内获得高质量调度方案的方法。构建融合机器人路径、机台加工与任务流程的对象Petri网模型,设计基于时间消耗的人工势场,引入任务需求度以动态刻画资源紧迫性,同时提出放大系数-势场函数关系以提升昂贵设备利用率;在此基础上,开发人工势场启发式A*搜索算法。实验结果表明:文中方法在小规模任务下可获得与Dijkstra算法相同的最优解,但搜索效率提升约96%;在复杂多机器人场景中,Dijkstra因状态空间爆炸而失效,而文中方法仍能在数分钟内生成近优调度方案。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMF9ac87g3QmsDYqbFJLxoeQUU1ow5VXtW3ezkjGpnd8vmpNtCQKV5GvYXuPZR4ZsH1DpVkRlg9uZOk0AdyvZEId01A8Gp8b0mGk66A_jmKr2wPCYuYIzz3rqmGY-0wyHXgdIxu8a3swTTrCNECiqh0mqg2xN-lRH-40YD8a0Bt5A==&uniplatform=NZKPT&language=CHS
2	LDS距离与ToF深度传感器外参数标定方法研究	俞贵涛;张榆平;梁冬泰;何洋;朱家辉		2026-02-27 09:15	电子测量与仪器学报	期刊	外参数标定;LDS传感器;ToF深度传感器;无约束非线性方程组;Powell算法;拟牛顿BFGS算法;	为了实现家用扫地机器人的3D地图构建，针对LDS激光距离传感器和ToF深度相机传感器外参数标定中，传统的平面约束标定方法易过拟合且精度低的缺点，提出了一种基于三圆柱几何约束的改进外参数标定方法。通过改变机器人的位姿获取三个固定圆柱标准件的侧面扫描数据，对于LDS距离传感器扫描获得的三个椭圆轮廓，利用RANSAC算法得到三个椭圆轮廓中心点以及每个椭圆轮廓上随机两个点。对于ToF深度传感器扫描获得三个圆柱表面三维点云，使用RANSAC算法拟合出三个圆柱各自的轴线。利用这三个椭圆轮廓中心点以及椭圆轮廓两个点到各自对应圆柱轴线的距离，构建空间几何约束，建立求解外参数的非线性优化方程组。为提升求解该方程的稳定性，提出了融合Powell算法与拟牛顿BFGS算法的改进优化策略，有效解决了对初值的依赖问题。通过模拟仿真实验分析了标定参数初始值以及高斯噪声对标定结果的影响，实验结果显示，该方法的平均旋转误差为0.37°，平均平移误差为3.2mm，在初值偏移较大的情况下仍能快速收敛。最后对该方法进行了真实场景实验和扫地机器人3D地图构建对比实验，验证了算法的有效性。结果表明，该方法不易受标定参数初始值影响...	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDN3tE-403wdVE_ys_Ldm8dxFCKJ-r64RXO7NZ7iMuDYAbluf2tWLSrHz5Lte3Cp3u-Rq60tihyNrLqQMRF95wMdGfQrCgE7w-peJCScC6dlotsQ_VVUkmvb5sKC0uvwUM0o5r_HJfQiO7GeieKsTPyOCn5iuOqXKAe91LNJ2d7NLQ==&uniplatform=NZKPT&language=CHS
3	基于技能网络的移动机器人实时风险感知路径修正	孙迎龙;王永雄		2026-02-27 08:18	控制工程	期刊	自主导航;风险评估;技能修正;路径规划;无目标任务;	在复杂动态环境中执行无特定目标探索（Nogoal），自主移动机器人的挑战是如何通过智能的路径规划和风险规避策略，最大化探索覆盖率同时最小化碰撞风险。现有的路径规划与避障方法在面对复杂环境时，往往难以应对环境中的动态变化和潜在的风险。为解决这一问题提出一种框架，在扩散导航策略生成的候选轨迹基础上，首次引入风险评估网络，从RGB-D与历史热力图中实时得到像素级与语义级风险。其次设计技能驱动的轨迹修正模块，通过对失败轨迹聚类得到N个修正技能，以残差形式实时注入高风险轨迹，实现了精准局部修正。最后设计动态决策融合机制，根据环境密度与碰撞历史自适应调节修正阈值。实验结果表明，框架在成功率、碰撞率和探索面积等方面都有明显提升。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDN3tE-403wdVE_ys_Ldm8dxFCKJ-r64RXNsfNX7SgXu08fXpSe9KujIfA1h-OPw7rPcUtIF1h3zROd9dJjuopEEYSizgSf179JR6HAvDjamtQU9wuKowuImt7p6pzFxF9g-ht8-vTKpU8K4AXpLZtO-X3ifWWvqrQFDqgw1uwAHMA==&uniplatform=NZKPT&language=CHS
4	禾赛科技与Grab达成战略合作，加速激光雷达在东南亚规模化应用			2026-02-27	汽车与配件	期刊	无	<正>近期，全球激光雷达领导者禾赛科技宣布，其与东南亚科技巨头Grab达成战略合作。Grab将成为禾赛激光雷达产品在东南亚地区的独家经销商，全面负责该区域内的产品销售、客户支持与市场推广工作。通过此次战略合作，禾赛科技将依托Grab广泛的资源与成熟的销售网络，显著提升高品质、高可靠激光雷达传感器的市场供应能力，让东南亚客户能够更便捷、更高效地获取激光雷达产品，满足包括机器人解决方案、自动驾驶系统在内的多元行业应用需求。同时，Grab作为禾赛科技在东南亚的独家经销商，也将为其自动驾驶出行与高精地图业务获得稳定可靠的技术供应保障。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMn-FDQ6ZxBbn4BLmgq7xZt5izyk_79TDOqtRkiv_ITLvuXiJYeN9Na7u0c2BxfDLfOelHTxgq17MmMAfvUtl_KWLuK16K9YatMuFGOpWPYzoHzYG6wRB76QfgfgIzFf5_rVyRm8sC3nvMGpzvxzsMKYrE-WAgospfiQ4gdo-coQg==&uniplatform=NZKPT&language=CHS
5	人工智能技术变革对成华社会经济发展的影响及对策研究	马慧敏;王录伟		2026-02-27	商业经济	期刊	人工智能;技术变革;成华社会经济;	当前，人工智能作为引领新一轮科技革命与产业变革的战略性技术，已成为推动区域高质量发展的核心引擎。在中国实施创新驱动发展战略的背景下，成都市成华区这一传统工业老区积极拥抱智能化转型机遇，实现华丽蜕变，但其中仍然存在诸多问题。基于此，本研究系统分析了人工智能技术变革对成都市成华区社会经济发展的全方位影响。研究表明：AI技术通过促进产业结构升级、优化城市治理效能、创新社会服务模式，成为推动区域高质量发展的核心动力；同时也面临产业链关键环节缺失、社会适应能力不足、人才结构失衡等挑战，并提出完善产业生态体系、深化场景应用开放、优化资金支持结构，完善人才引育机制等针对性建议，以期为区域把握AI战略机遇、培育新质生产力提供理论参考和实践路径。	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMn-FDQ6ZxBbn4BLmgq7xZt5izyk_79TDOMazaHomvaWIkTxpTnrOJDmMqaeGtaMtBVdfVcGsa8jRmzp0-Vw3cNNkkIc4ygD1giwKgyYiyRJBRIuMeUnLaqtOi3KdRAR5-kuEVKBeJV40N28JAi3dJ-sZLdRUx-0w4YELbFYDX_iw==&uniplatform=NZKPT&language=CHS
6	春节AI热潮后多点冷思考	黄鑫		2026-02-27	经济日报	报纸	人形机器人;精密装配;应用场景;冷思考;	春晚舞台与技术的融合，把AI热潮推向新高度。这背后，是中国AI技术的长足进步。热闹之后，行业还需回归长期主义。我国拥有全球最完整的工业体系和丰富多元的应用场景，这才是AI落地生根的最大沃土。AI要告别补贴内卷，走技术筑基、制造深耕的路子。 马年春晚的AI味很浓。从......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMn-FDQ6ZxBbn4BLmgq7xZt4_C9_3Qxni5Ihol5UfILAlAn5lf97ARqt_rsIcUtr_kxanieFEruWhkd-HdJAPka07yw1EuUhC1H0tGy3A8KmcnX4VliL9u5VZq7XPBL_g0hAAPkCYJqQmWV0pJ1k_HmoESJ90KyR2JzpbZodl8G-ib4-MKacyWX&uniplatform=NZKPT&language=CHS
7	那些改写机器人进化史的“第一次”	马俊		2026-02-27	环球时报	报纸	机器人;	编者的话：今年央视春晚舞台上，多款人形机器人灵活舒展、动作自如，让人们对它们走进日常生活充满期待。拥有不知疲倦、力量强劲的机器人作为生活助手，本就是人类千年以来的心愿。无论是古希腊神话，还是中国古代传说里的机械人偶，都藏着古人对“人造生命”的想象。历经数......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDP9TN6pFPf1v2UhP639QdNtywyNuCfCZYa3c8LRie90LlupofYYzp2C7RWDsOa426Y60rtx_tkqw9vb9cE9E-WF4ZmZAkmiUrePIGGzCJlYtixum3yiy5ABCJerPdRcpxSszsGxCgKo6Ke40vXQsi0WuenPD6t1UrMIKPKeCdUM76QzuGr2Ak8V&uniplatform=NZKPT&language=CHS
8	德国总理默茨杭州之行，意外揭开了一座“宝藏”	刘乐平;胡静漪;刘健		2026-02-27	浙江日报	报纸	浙江省;机器人;西门子;产业链;智能科技;	当德国总理默茨的车队穿过杭州的街巷，最终停在宇树科技大门口时，恐怕连随行的约30位德国商界巨头都没有想到：这座以西湖和电商闻名的中国江南名城，早已不仅仅是“阿里的故乡”，更在不经意间，长成了一座“中德硬科技合作的隐形桥头堡”。 默茨这次访华，行程极其紧凑，......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDP9TN6pFPf1v2UhP639QdNtywyNuCfCZYYJkMRBEjJwjvbcuexSzjwl_IZ2STF1lBoOeRXGAmo2zwjbTEuvegYddhLHXI32dBRlYCAmKUP2YkLGocMybsqSCDiRlUfeDZb26JAs-XyKG1VuzWbffqMXJ-9iXDZrCycpeeyvWN0Ae3C-xLayYRDi&uniplatform=NZKPT&language=CHS
9	机构2月调研近240家上市公司 人形机器人等投资机遇获重视	胡雨		2026-02-27	中国证券报	报纸	上市公司;投资机遇;人形机器人;行业分布;机械设备;持续增长;	2月以来，各类机构调研上市公司动作频频。Wind数据显示，截至2月26日中国证券报记者发稿时，2月以来已有近240家公司接待各类机构调研。2月以来，A股整体维持高位震荡态势，前述被机构调研公司中，过半数在同时期取得正收益，部分标的2月以来累计涨幅超过80%，表现远超市场主......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDP9TN6pFPf1v2UhP639QdNtywyNuCfCZYbDzkkBsWY4GYVXZ7gZdMPMtijXYu2aT9l9Y-Z7-hf4wkLURJjmYJu_f6Bquv_emUbEV9OegzgNjdeynnu8r06qzmuKi_nSacw-29SK_7QGyv3XwX3xBoHQMQpNV3S5odJRllwJSqD3aRcqLCA1yGMh&uniplatform=NZKPT&language=CHS
10	“十五五”开局 成都为何把重点产业链放上C位	王成栋;肖莹佩;熊晓雨		2026-02-27	四川日报	报纸	机器人;高质量;产业链;	2月24日，春节假期后第一个工作日，成都举行推进重点产业链高质量发展工作会议。 作为“新春第一会”和“十五五”开局之年的“起手式”，成都透露出鲜明信号：以重点产业链高质量发展，全面提升现代化产业体系发展能级。 作为超大城市，成都加快强链突破和推动聚链成群的战......	https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDP9TN6pFPf1v2UhP639QdNtywyNuCfCZYYgKT-A_rHaM7uI0GJKxVQW_K3qNel5nb0_ecrFLqw6ZSGurKVWOaqg4wq74IhqnmqkIWOW_S7Y18KZvavKpYByyEfe28x-rKd2AiTSMyw9GcgeMrgiX9DqgpuuZhaKp14qF014aEUjbLQgBQGmt6R4&uniplatform=NZKPT&language=CHS
